CustomerID,NumOrders,TotalQuantity,TotalSpent,FirstPurchaseDate,LastPurchaseDate,RecencyDays
12346,1,74215,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,325
12347,7,2458,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,1
12348,4,2341,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,74
12349,1,631,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,18
12350,1,197,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,309
12352,8,536,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,35
12353,1,20,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,203
12354,1,530,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,231
12355,1,240,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,213
12356,3,1591,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,22
12357,1,2708,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,32
12358,2,248,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,1
12359,4,1622,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,57
12360,3,1165,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,51
12361,1,91,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,286
12362,10,2229,5226.23,2011-02-17 10:30:00,2011-12-06 15:40:00,2
12363,2,408,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,109
12364,4,1506,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,7
12365,2,174,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,290
12367,1,173,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,3
12370,4,2353,3545.69,2010-12-14 12:58:00,2011-10-19 14:51:00,50
12371,2,591,1887.96,2011-10-11 10:43:00,2011-10-26 10:16:00,44
12372,3,794,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,71
12373,1,197,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,310
12374,1,342,742.9300000000001,2011-11-14 15:37:00,2011-11-14 15:37:00,24
12375,2,178,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,10
12377,2,944,1628.12,2010-12-20 09:37:00,2011-01-28 15:45:00,314
12378,1,2529,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,129
12379,2,407,852.24,2011-06-22 16:32:00,2011-09-19 10:09:00,81
12380,4,1127,2724.81,2011-06-07 09:49:00,2011-11-18 11:27:00,21
